stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_point,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,shelter,bench,lit,bay,device_charging_station
UCR_1_01,,Escuela de Educación Física y Deportes (EDUFI),Costado este de las canchas multiuso y de la Escuela de Educación Física y Deportes (EDUFI),9.943381444081362,-84.04495180739714,SRID=4326;POINT (-84.04495180739714 9.943381444081362),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_01,0,,2,yes,yes,yes,no,yes
UCR_1_02,,Entrada de las Instalaciones Deportivas (Finca 3),En la entrada principal al sur de las instalaciones deportivas de la Finca 3,9.941220574743566,-84.04483991497501,SRID=4326;POINT (-84.04483991497501 9.941220574743566),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_02,0,,2,no,no,no,no,no
UCR_1_03,,Escuela de Nutrición,Esquina noreste del edificio de la Escuela de Nutrición (ENu),9.939134591559855,-84.04468654565294,SRID=4326;POINT (-84.04468654565294 9.939134591559855),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_03,0,,2,no,no,no,no,no
UCR_1_04,,Parqueo Integral Universitario,Entre el edificio de parqueos y el Centro de Investigación en Ciencias del Mar y Limnología (CIMAR),9.938980381389706,-84.0436758508172,SRID=4326;POINT (-84.0436758508172 9.938980381389706),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_04,0,,1,yes,yes,yes,no,no
UCR_1_05,,Centro de Investigación en Matemática Pura y Aplicada (CIMPA),Frente al edificio del Centro de Investigación en Matemática Pura y Aplicada (CIMPA),9.939472792042086,-84.042189216776,SRID=4326;POINT (-84.042189216776 9.939472792042086),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_05,0,,2,no,no,no,no,no
UCR_1_06,,Facultad de Ciencias Sociales,Entre la Facultad de Ciencias Sociales (FCS) y el edificio de parqueos,9.938130529026141,-84.04229551510366,SRID=4326;POINT (-84.04229551510366 9.938130529026141),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_06,0,,1,yes,yes,yes,no,yes
UCR_1_07,FING-B,Facultad de Ingeniería (externa),"Costado norte del nuevo edificio de la Facultad de Ingeniería (FI), al otro lado de la calle",9.937468669419962,-84.04501822768842,SRID=4326;POINT (-84.04501822768842 9.937468669419962),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_07,0,,1,yes,yes,yes,no,yes
UCR_1_08,,Centro de Transferencia Tecnológica (CTT),"Junto al parqueo del Centro de Transferencia Tecnológica (CTT), diagonal al Laboratorio Nacional de Materiales y Modelos Estructurales (LANAMME), al otro lado de la calle",9.93589305371453,-84.04546950911886,SRID=4326;POINT (-84.04546950911886 9.93589305371453),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_08,0,,2,no,no,no,no,no
UCR_1_09,,Facultad de Educación,Frente al jardín de la Facultad de Educación (FE),9.935610136323218,-84.04899295728595,SRID=4326;POINT (-84.04899295728595 9.935610136323218),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_09,0,,1,yes,yes,yes,yes,yes
UCR_1_10,,Escuela de Artes Plásticas,Nuevo edificio de la Escuela de Artes Plásticas (EAP),9.935501598287884,-84.05217559901489,SRID=4326;POINT (-84.05217559901489 9.935501598287884),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_10,0,,1,yes,yes,yes,yes,yes
